"Sr. No.","Sequence Number","Program Name","Program Information","Navigation URL","Image URL","Menu Name"
1,1,"Student Attendance","Student Attendance","/student-attendance","NISHTHA-01-01.png","STUDENT ATTENDANCE"
2,2,"Teacher Attendance","Teacher Attendance","/teacher-attendance","NISHTHA-01-01.png","TEACHER ATTENDANCE"
3,3,"School Statistics","School Statistics","/school-statistics","NISHTHA-01-01.png","SCHOOL STATISTICS"
4,4,"Student Statistics","Student Statistics","/student-statistics","NISHTHA-01-01.png","STUDENT STATISTICS"
5,5,"Teacher Statistics","Teacher Statistics","/teacher-statistics","NISHTHA-01-01.png","TEACHER STATISTICS"
